# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.005    0.908259    0.908259   376.345    4.656132
  0.010    0.538444    0.538444   360.595    3.536242
  0.015    0.436874    0.436874   347.521    3.064761
  0.020    0.393185    0.393185   338.929    2.921395
  0.025    0.374911    0.374911   334.281    2.856557
  0.030    0.366407    0.366407   331.893    2.807991
  0.035    0.361881    0.361881   330.669    2.767611
  0.040    0.359844    0.359844   330.063    2.735973
  0.045    0.359733    0.359733   329.831    2.713291
  0.050    0.360956    0.360956   329.713    2.698245
